Country,Year,Beef,Pork,Poultry,Sheep
ARG,1998,41.43,5.45,19.71,1.41
ARG,2008,46.92,5.89,27.74,1.09
ARG,2018,39.93,10.84,38.18,0.96
AUS,1998,26.65,15.19,27.53,15.41
AUS,2008,23.33,19.31,33.24,10.99
AUS,2018,18.91,21.91,44.13,7.28
BRA,1998,23.40,7.21,22.43,0.56
BRA,2008,26.85,10.30,31.36,0.53
BRA,2018,24.47,12.33,39.81,0.56
CAN,1998,23.26,22.48,27.07,0.73
CAN,2008,21.43,18.66,32.02,1.02
CAN,2018,17.97,16.04,33.79,0.95
CHE,1998,15.65,27.01,10.93,1.63
CHE,2008,15.46,25.94,13.97,1.39
CHE,2018,13.27,22.55,14.27,1.15
CHL,1998,16.42,11.59,21.39,0.77
CHL,2008,14.65,18.14,28.65,0.65
CHL,2018,18.74,19.00,36.54,0.42
CHN,1998,2.61,23.79,7.47,1.63
CHN,2008,3.15,27.00,10.42,2.48
CHN,2018,3.80,30.44,11.55,3.14
COL,1998,13.66,1.64,11.91,0.27
COL,2008,11.91,3.15,20.60,0.22
COL,2018,10.75,7.97,30.65,0.14
EGY,1998,6.80,0.10,6.98,1.25
EGY,2008,8.39,0.02,8.24,1.65
EGY,2018,7.86,0.01,11.26,1.10
ETH,1998,3.05,0.02,0.52,0.86
ETH,2008,3.20,0.02,0.51,1.46
ETH,2018,2.57,0.01,0.11,0.48
GBR,1998,0.00,0.00,0.00,0.00
GBR,2008,11.96,17.14,22.58,5.28
GBR,2018,11.67,17.36,27.79,4.09
IDN,1998,1.36,2.36,2.65,0.35
IDN,2008,1.45,0.70,5.17,0.42
IDN,2018,1.98,1.02,7.57,0.43
IND,1998,1.43,0.36,0.64,0.59
IND,2008,1.07,0.25,1.41,0.57
IND,2018,0.52,0.17,2.40,0.46
IRN,1998,4.27,0.00,10.29,6.05
IRN,2008,4.42,0.00,18.93,4.21
IRN,2018,5.40,0.02,23.01,4.22
ISR,1998,13.66,1.60,40.24,1.16
ISR,2008,23.45,2.04,63.53,1.46
ISR,2018,20.46,1.38,64.87,1.59
JPN,1998,8.19,12.58,11.96,0.42
JPN,2008,6.38,14.51,13.33,0.27
JPN,2018,7.44,16.17,16.92,0.16
KAZ,1998,15.69,4.18,3.12,6.83
KAZ,2008,20.59,7.15,10.75,7.22
KAZ,2018,19.26,4.86,14.99,8.22
KOR,1998,6.81,14.90,7.49,0.15
KOR,2008,7.28,24.16,11.36,0.10
KOR,2018,10.90,30.06,17.99,0.30
MEX,1998,10.68,8.22,16.03,0.52
MEX,2008,10.94,10.16,23.90,0.66
MEX,2018,8.85,13.45,28.76,0.52
MYS,1998,3.28,9.43,29.24,0.53
MYS,2008,4.26,5.71,37.25,0.65
MYS,2018,5.22,5.36,48.70,1.13
NGA,1998,1.79,0.99,1.30,2.19
NGA,2008,1.53,1.13,1.52,2.47
NGA,2018,1.35,1.12,0.89,1.77
NOR,1998,14.59,18.78,6.22,4.69
NOR,2008,13.53,20.31,15.54,5.33
NOR,2018,13.66,20.22,17.19,4.48
NZL,1998,21.92,12.51,22.65,26.38
NZL,2008,20.14,16.07,30.26,13.53
NZL,2018,11.85,18.91,39.41,4.71
PAK,1998,4.48,0.00,1.92,2.96
PAK,2008,5.86,0.00,3.26,2.21
PAK,2018,6.40,0.00,5.94,2.04
PER,1998,3.64,2.21,16.52,1.01
PER,2008,4.10,3.18,27.24,1.22
PER,2018,4.16,4.15,44.47,1.05
PHL,1998,2.63,11.95,6.11,0.37
PHL,2008,3.31,14.14,8.61,0.52
PHL,2018,3.13,14.93,13.01,0.51
PRY,1998,26.48,18.31,6.58,0.59
PRY,2008,10.30,18.51,5.52,0.47
PRY,2018,13.69,21.64,5.28,0.50
RUS,1998,14.00,11.73,9.13,1.14
RUS,2008,14.33,18.08,27.00,1.26
RUS,2018,10.41,19.64,31.42,1.38
SAU,1998,2.89,0.00,31.02,6.25
SAU,2008,3.80,0.00,36.54,4.70
SAU,2018,3.98,0.51,32.24,3.86
THA,1998,2.86,5.87,12.86,0.01
THA,2008,1.81,10.31,8.33,0.03
THA,2018,1.30,9.96,7.93,0.04
TUR,1998,4.15,0.00,7.14,5.34
TUR,2008,3.73,0.00,13.08,4.00
TUR,2018,8.52,0.00,19.27,4.31
UKR,1998,9.59,10.61,4.44,0.36
UKR,2008,7.58,13.50,20.44,0.33
UKR,2018,5.00,12.50,21.06,0.28
USA,1998,30.62,23.51,40.30,0.52
USA,2008,28.72,22.66,46.63,0.45
USA,2018,26.09,23.05,49.68,0.47
VNM,1998,1.46,11.55,3.36,0.05
VNM,2008,4.20,25.07,7.94,0.11
VNM,2018,9.27,29.69,13.36,0.16
ZAF,1998,8.83,2.19,14.38,3.20
ZAF,2008,11.11,3.06,27.11,3.47
ZAF,2018,12.25,3.45,33.75,2.63
